('156-0', 'Che vuoi')
('86-3', 'Perfetto')
('86-4', 'Perfetto')
('86-5', 'Perfetto')
('86-6', 'Perfetto')
('86-7', 'Perfetto')
('86-8', 'Perfetto')
('86-9', 'Perfetto')
('86', 'Che vuoi')
('87-0', 'Perfetto')
('87-1', 'Perfetto')
('87-2', 'Perfetto')
('87-3', 'Perfetto')
('87-4', 'Perfetto')
('87-5', 'Perfetto')
('87-6', 'Perfetto')
('87-7', 'Perfetto')
('87-8', 'Perfetto')
('87-9', 'Perfetto')
('87', 'Perfetto')
('88-0', 'Perfetto')
('88-1', 'Perfetto')
('88-2', 'Perfetto')
('88-3', 'Perfetto')
('88-4', 'Perfetto')
('88-5', 'Perfetto')
('88-6', 'Perfetto')
('88-7', 'Perfetto')
('88-8', 'Perfetto')
('88-9', 'Perfetto')
('88', 'Vieni Qui')
('89-0', 'Perfetto')
('89-1', 'Perfetto')
('89-2', 'Perfetto')
('89-3', 'Perfetto')
('89-4', 'Perfetto')
('89-5', 'Perfetto')
('89-6', 'Perfetto')
('89-7', 'Perfetto')
('89-8', 'Perfetto')
('89-9', 'Perfetto')
('89', 'Perfetto')
('90-0', 'Perfetto')
('90-1', 'Perfetto')
('90-2', 'Perfetto')
('90-3', 'Perfetto')
('90-4', 'Perfetto')
('90-5', 'Perfetto')
('90-6', 'Perfetto')
('90-7', 'Perfetto')
('90-8', 'Perfetto')
('90-9', 'Perfetto')
('90', 'Che vuoi')
('91-0', 'Perfetto')
('91-1', 'Perfetto')
('91-2', 'Perfetto')
('91-3', 'Perfetto')
('91-4', 'Perfetto')
('91-5', 'Perfetto')
('91-6', 'Perfetto')
('91-7', 'Perfetto')
('91-8', 'Perfetto')
('91-9', 'Perfetto')
('91', 'Che vuoi')
('92-0', 'Perfetto')
('92-1', 'Perfetto')
('92-2', 'Perfetto')
('92-3', 'Perfetto')
('92-4', 'Perfetto')
('92-5', 'Perfetto')
('92-6', 'Perfetto')
('92-7', 'Perfetto')
('92-8', 'Perfetto')
('92-9', 'Perfetto')
('92', 'Che vuoi')
('93-0', 'Perfetto')
('93-1', 'Perfetto')
('93-2', 'Perfetto')
('93-3', 'Perfetto')
('93-4', 'Perfetto')
('93-5', 'Perfetto')
('93-6', 'Perfetto')
('93-7', 'Perfetto')
('93-8', 'Perfetto')
('93-9', 'Perfetto')
('93', 'Vieni Qui')
